Tagname;Timestamp;Value;Quality
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:07;34,99961853;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:07;38,33218765;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:07;41,66628647;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:07;44,99885559;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:07;48,33295059;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:07;51,66552353;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:07;54,99961853;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:07;58,33218765;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:07;61,66628647;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:07;64,99885559;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:07;68,33295441;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:07;71,66551971;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:07;74,99961853;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:07;78,33219147;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:07;81,66628265;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:07;84,99885559;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:07;88,33295441;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:07;91,66551971;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:07;94,99961853;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:07;98,33219147;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:07;98,49851227;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:07;95,16593933;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:07;91,83184814;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:07;88,49927521;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:07;85,16517639;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:07;81,83261108;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:07;78,49851227;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:07;75,16593933;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:08;71,83184814;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:08;68,49927521;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:08;65,16517639;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:08;61,83260727;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:08;58,49851227;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:08;55,16594315;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:08;51,83184433;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:08;48,49927521;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:08;45,16518021;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:08;41,83260727;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:08;38,49851227;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:08;35,16594315;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:08;31,83184624;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:08;28,49927521;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:08;25,1651783;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:08;21,83260918;Good
PROJEKT.TANK1_WYSOKOSC.F_CV;03.12.2019 19:08;18,49851227;Good
